Date__c,Value__c
2008-12-31,100.0
2009-01-31,98.8287
2009-02-28,98.9781
2009-03-31,100.079
2009-04-30,101.1077
2009-05-31,99.7744
2009-06-30,100.7939
2009-07-31,102.7182
2009-08-31,103.3215
2009-09-30,104.0205
2009-10-31,103.8845
2009-11-30,104.6443
2009-12-31,104.321
2010-01-31,104.7335
2010-02-28,105.9909
2010-03-31,106.9108
2010-04-30,107.2277
2010-05-31,107.9047
2010-06-30,107.5467
2010-07-31,108.382
2010-08-31,111.2588
2010-09-30,110.2217
2010-10-31,109.6328
2010-11-30,107.4907
2010-12-31,107.1221
2011-01-31,106.5908
2011-02-28,106.607
2011-03-31,105.9461
2011-04-30,106.6213
2011-05-31,107.5716
2011-06-30,107.0395
2011-07-31,106.0351
2011-08-31,108.2396
2011-09-30,107.9201
2011-10-31,106.3087
2011-11-30,103.7578
2011-12-31,107.2017
2012-01-31,109.6107
2012-02-29,111.9442
2012-03-31,112.2608
2012-04-30,111.5993
2012-05-31,112.5586
2012-06-30,111.4803
2012-07-31,112.9957
2012-08-31,114.0792
2012-09-30,115.5302
2012-10-31,116.1583
2012-11-30,117.8643
2012-12-31,118.4076
2013-01-31,118.5675
2013-02-28,117.9745
2013-03-31,119.2989
2013-04-30,122.8323
2013-05-31,121.4495
2013-06-30,119.3774
2013-07-31,120.4067
2013-08-31,119.0881
2013-09-30,120.1103
2013-10-31,121.9924
2013-11-30,122.206
2013-12-31,121.283
2014-01-31,123.3547
2014-02-28,124.1708
2014-03-31,125.0911
2014-04-30,126.1664
2014-05-31,127.617
2014-06-30,128.8835
2014-07-31,130.0208
2014-08-31,132.3539
2014-09-30,132.4342
2014-10-31,131.8482
2014-11-30,134.3746
2014-12-31,135.9789
2015-01-31,139.2024
2015-02-28,140.1812
2015-03-31,142.4071
2015-04-30,140.2024
2015-05-31,138.4576
2015-06-30,134.2528
2015-07-31,137.2863
2015-08-31,134.9254
2015-09-30,136.3463
2015-10-31,138.7477
2015-11-30,139.4297
2015-12-31,137.4461
2016-01-31,139.4882
2016-02-29,140.6919
2016-03-31,141.3707
2016-04-30,139.8107
2016-05-31,141.3435
2016-06-30,143.9177
2016-07-31,145.2762
2016-08-31,144.6986
2016-09-30,144.6186
2016-10-31,141.8945
2016-11-30,140.1156
2016-12-31,141.2361
2017-01-31,137.7055
2017-02-28,139.4447
2017-03-31,138.6784
2017-04-30,139.5849
2017-05-31,139.1852
2017-06-30,139.459
2017-07-31,139.5696
2017-08-31,140.3051
2017-09-30,139.9554
2017-10-31,141.6435
2017-11-30,141.885
2017-12-31,140.7309
2018-01-31,140.2476
2018-02-28,140.1912
2018-03-31,141.8716
2018-04-30,141.5513
2018-05-31,140.2419
2018-06-30,140.8194
2018-07-31,140.3919
2018-08-31,139.7077
2018-09-30,139.4719
2018-10-31,138.6868
2018-11-30,139.4851
2018-12-31,139.7684
2019-01-31,141.8005
2019-02-28,141.5241
2019-03-31,144.0626
2019-04-30,144.0124
2019-05-31,144.886
2019-06-30,148.1794
2019-07-31,150.6881
2019-08-31,153.8064
2019-09-30,153.2705
2019-10-31,151.66
2019-11-30,150.6613
2019-12-31,149.4284
2020-01-31,152.8518
2020-02-29,152.3329
2020-03-31,147.2823
2020-04-30,148.8163
2020-05-31,149.0798
2020-06-30,150.4277
2020-07-31,151.8489
2020-08-31,151.0843
2020-09-30,152.8572
2020-10-31,153.8504
2020-11-30,155.2864
2020-12-31,155.2577
2021-01-31,154.3526
2021-02-28,151.6361
2021-03-31,152.2901
2021-04-30,150.9699
2021-05-31,150.6953
2021-06-30,151.5283
2021-07-31,153.971
2021-08-31,153.3444
2021-09-30,151.3344
2021-10-31,150.9395
2021-11-30,153.0139
2021-12-31,151.1653
2022-01-31,148.9283
2022-02-28,146.0583
2022-03-31,143.059
2022-04-30,137.6889
2022-05-31,134.9938
2022-06-30,132.104
2022-07-31,137.6419
2022-08-31,130.952
2022-09-30,126.0319
2022-10-31,126.2651
2022-11-30,128.8764
2022-12-31,123.6219
2023-01-31,126.0989
2023-02-28,123.2371
2023-03-31,125.9026
2023-04-30,125.5949
2023-05-31,126.0818
2023-06-30,125.7405
2023-07-31,125.9261
2023-08-31,125.9416
2023-09-30,122.8512
2023-10-31,122.9011
2023-11-30,126.3937
2023-12-31,130.8759
2024-01-31,130.2549
2024-02-29,129.1887
2024-03-31,130.5015
2024-04-30,128.6527
2024-05-31,128.3536
2024-06-30,128.9699
2024-07-31,131.464
2024-08-31,131.6367
2024-09-30,133.2039
2024-10-01,133.9229
